 time            time            v(gate_rc)      id             
 2.40197883e-11  2.40197883e-11  1.00777371e+00  1.01136783e-02 
 2.41927048e-11  2.41927048e-11  1.00998697e+00  1.01494832e-02 
 2.43662369e-11  2.43662369e-11  1.01218225e+00  1.01849693e-02 
 2.45403946e-11  2.45403946e-11  1.01435971e+00  1.02201397e-02 
 2.47151808e-11  2.47151808e-11  1.01651941e+00  1.02549962e-02 
 2.48906045e-11  2.48906045e-11  1.01866150e+00  1.02895416e-02 
 2.50666695e-11  2.50666695e-11  1.02078606e+00  1.03237777e-02 
 2.52433841e-11  2.52433841e-11  1.02289322e+00  1.03577072e-02 
 2.54207527e-11  2.54207527e-11  1.02498305e+00  1.03913320e-02 
 2.55987833e-11  2.55987833e-11  1.02705569e+00  1.04246545e-02 
 2.57774805e-11  2.57774805e-11  1.02911121e+00  1.04576766e-02 
 2.59568521e-11  2.59568521e-11  1.03114973e+00  1.04904007e-02 
 2.61369032e-11  2.61369032e-11  1.03317133e+00  1.05228287e-02 
 2.63176411e-11  2.63176411e-11  1.03517612e+00  1.05549627e-02 
 2.64990714e-11  2.64990714e-11  1.03716419e+00  1.05868048e-02 
 2.66812013e-11  2.66812013e-11  1.03913564e+00  1.06183569e-02 
 2.68640366e-11  2.68640366e-11  1.04109055e+00  1.06496211e-02 
 2.70475844e-11  2.70475844e-11  1.04302902e+00  1.06805994e-02 
 2.72318507e-11  2.72318507e-11  1.04495114e+00  1.07112935e-02 
 2.74168426e-11  2.74168426e-11  1.04685699e+00  1.07417056e-02 
 2.76025663e-11  2.76025663e-11  1.04874668e+00  1.07718375e-02 
 2.77890289e-11  2.77890289e-11  1.05062028e+00  1.08016910e-02 
 2.79762368e-11  2.79762368e-11  1.05247788e+00  1.08312681e-02 
 2.81641970e-11  2.81641970e-11  1.05431956e+00  1.08605705e-02 
 2.83529163e-11  2.83529163e-11  1.05614542e+00  1.08896002e-02 
 2.85424017e-11  2.85424017e-11  1.05795554e+00  1.09183588e-02 
 2.87326600e-11  2.87326600e-11  1.05974999e+00  1.09468483e-02 
 2.89236985e-11  2.89236985e-11  1.06152887e+00  1.09750703e-02 
 2.91155241e-11  2.91155241e-11  1.06329226e+00  1.10030266e-02 
 2.93081440e-11  2.93081440e-11  1.06504023e+00  1.10307191e-02 
 2.95015656e-11  2.95015656e-11  1.06677287e+00  1.10581493e-02 
 2.96957960e-11  2.96957960e-11  1.06849026e+00  1.10853190e-02 
 2.98908427e-11  2.98908427e-11  1.07019247e+00  1.11122299e-02 
 3.00867132e-11  3.00867132e-11  1.07187960e+00  1.11388837e-02 
 3.02834150e-11  3.02834150e-11  1.07355171e+00  1.11652821e-02 
 3.04809558e-11  3.04809558e-11  1.07520888e+00  1.11914267e-02 
 3.06793431e-11  3.06793431e-11  1.07685120e+00  1.12173192e-02 
 3.08785850e-11  3.08785850e-11  1.07847873e+00  1.12429612e-02 
 3.10786891e-11  3.10786891e-11  1.08009156e+00  1.12683543e-02 
 3.12796635e-11  3.12796635e-11  1.08168977e+00  1.12935001e-02 
 3.14815163e-11  3.14815163e-11  1.08327342e+00  1.13184003e-02 
 3.16842555e-11  3.16842555e-11  1.08484260e+00  1.13430565e-02 
 3.18878896e-11  3.18878896e-11  1.08639737e+00  1.13674701e-02 
 3.20924267e-11  3.20924267e-11  1.08793782e+00  1.13916428e-02 
 3.22978754e-11  3.22978754e-11  1.08946402e+00  1.14155762e-02 
 3.25042441e-11  3.25042441e-11  1.09097604e+00  1.14392717e-02 
 3.27115416e-11  3.27115416e-11  1.09247396e+00  1.14627310e-02 
 3.29197767e-11  3.29197767e-11  1.09395785e+00  1.14859555e-02 
 3.31289581e-11  3.31289581e-11  1.09542778e+00  1.15089468e-02 
 3.33390950e-11  3.33390950e-11  1.09688383e+00  1.15317064e-02 
 3.35501963e-11  3.35501963e-11  1.09832607e+00  1.15542358e-02 
 3.37622713e-11  3.37622713e-11  1.09975456e+00  1.15765364e-02 
 3.39753294e-11  3.39753294e-11  1.10116940e+00  1.15986098e-02 
 3.41893800e-11  3.41893800e-11  1.10257063e+00  1.16204575e-02 
 3.44044327e-11  3.44044327e-11  1.10395835e+00  1.16420808e-02 
 3.46204972e-11  3.46204972e-11  1.10533261e+00  1.16634814e-02 
 3.48375834e-11  3.48375834e-11  1.10669349e+00  1.16846605e-02 
 3.50557012e-11  3.50557012e-11  1.10804106e+00  1.17056198e-02 
 3.52748608e-11  3.52748608e-11  1.10937540e+00  1.17263605e-02 
 3.54950724e-11  3.54950724e-11  1.11069656e+00  1.17468842e-02 
 3.57163465e-11  3.57163465e-11  1.11200463e+00  1.17671922e-02 
 3.59386935e-11  3.59386935e-11  1.11329967e+00  1.17872861e-02 
 3.61621242e-11  3.61621242e-11  1.11458176e+00  1.18071671e-02 
 3.63866494e-11  3.63866494e-11  1.11585095e+00  1.18268367e-02 
 3.66122801e-11  3.66122801e-11  1.11710733e+00  1.18462962e-02 
 3.68390275e-11  3.68390275e-11  1.11835096e+00  1.18655472e-02 
 3.70669030e-11  3.70669030e-11  1.11958191e+00  1.18845909e-02 
 3.72959179e-11  3.72959179e-11  1.12080024e+00  1.19034287e-02 
 3.75260840e-11  3.75260840e-11  1.12200604e+00  1.19220620e-02 
 3.77574130e-11  3.77574130e-11  1.12319937e+00  1.19404922e-02 
 3.79899171e-11  3.79899171e-11  1.12438029e+00  1.19587206e-02 
 3.82236083e-11  3.82236083e-11  1.12554888e+00  1.19767485e-02 
 3.84584991e-11  3.84584991e-11  1.12670520e+00  1.19945774e-02 
 3.86946020e-11  3.86946020e-11  1.12784932e+00  1.20122085e-02 
 3.89319297e-11  3.89319297e-11  1.12898131e+00  1.20296432e-02 
 3.91704952e-11  3.91704952e-11  1.13010124e+00  1.20468828e-02 
 3.94103117e-11  3.94103117e-11  1.13120918e+00  1.20639286e-02 
 3.96513926e-11  3.96513926e-11  1.13230519e+00  1.20807820e-02 
 3.98937512e-11  3.98937512e-11  1.13338935e+00  1.20974442e-02 
 4.01374015e-11  4.01374015e-11  1.13446171e+00  1.21139165e-02 
 4.03823575e-11  4.03823575e-11  1.13552235e+00  1.21302003e-02 
 4.06286333e-11  4.06286333e-11  1.13657133e+00  1.21462969e-02 
 4.08762434e-11  4.08762434e-11  1.13760873e+00  1.21622075e-02 
 4.11252025e-11  4.11252025e-11  1.13863461e+00  1.21779334e-02 
 4.13755254e-11  4.13755254e-11  1.13964903e+00  1.21934758e-02 
 4.16272274e-11  4.16272274e-11  1.14065206e+00  1.22088362e-02 
 4.18803239e-11  4.18803239e-11  1.14164378e+00  1.22240157e-02 
 4.21348305e-11  4.21348305e-11  1.14262425e+00  1.22390155e-02 
 4.23907632e-11  4.23907632e-11  1.14359352e+00  1.22538370e-02 
 4.26481381e-11  4.26481381e-11  1.14455168e+00  1.22684814e-02 
 4.29069717e-11  4.29069717e-11  1.14549879e+00  1.22829500e-02 
 4.31672807e-11  4.31672807e-11  1.14643491e+00  1.22972439e-02 
 4.34290823e-11  4.34290823e-11  1.14736011e+00  1.23113645e-02 
 4.36923936e-11  4.36923936e-11  1.14827446e+00  1.23253129e-02 
 4.39572324e-11  4.39572324e-11  1.14917803e+00  1.23390904e-02 
 4.42236165e-11  4.42236165e-11  1.15007087e+00  1.23526982e-02 
 4.44915643e-11  4.44915643e-11  1.15095306e+00  1.23661375e-02 
 4.47610942e-11  4.47610942e-11  1.15182466e+00  1.23794096e-02 
 4.50322251e-11  4.50322251e-11  1.15268574e+00  1.23925156e-02 
 4.53049763e-11  4.53049763e-11  1.15353636e+00  1.24054567e-02 
 4.55793673e-11  4.55793673e-11  1.15437660e+00  1.24182342e-02 
 4.58554181e-11  4.58554181e-11  1.15520651e+00  1.24308493e-02 
 4.61331489e-11  4.61331489e-11  1.15602617e+00  1.24433031e-02 
 4.64129676e-11  4.64129676e-11  1.15683674e+00  1.24556137e-02 
 4.66949937e-11  4.66949937e-11  1.15763852e+00  1.24677855e-02 
 4.69792716e-11  4.69792716e-11  1.15843154e+00  1.24798195e-02 
 4.72658388e-11  4.72658388e-11  1.15921585e+00  1.24917164e-02 
 4.75546969e-11  4.75546969e-11  1.15999138e+00  1.25034751e-02 
 4.78458782e-11  4.78458782e-11  1.16075814e+00  1.25150962e-02 
 4.81393936e-11  4.81393936e-11  1.16151610e+00  1.25265792e-02 
