 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 2.50948029e-11  2.50948029e-11  3.01137635e-01  1.19314794e+00 -2.87252606e-04  1.19996818e+00 
 2.53519518e-11  2.53519518e-11  3.04223422e-01  1.19266057e+00 -3.01814746e-04  1.19996788e+00 
 2.56089694e-11  2.56089694e-11  3.07307632e-01  1.19215746e+00 -3.16577396e-04  1.19996760e+00 
 2.58740948e-11  2.58740948e-11  3.10489137e-01  1.19162156e+00 -3.32016800e-04  1.19996731e+00 
 2.61393512e-11  2.61393512e-11  3.13672215e-01  1.19106803e+00 -3.47670864e-04  1.19996702e+00 
 2.64111723e-11  2.64111723e-11  3.16934068e-01  1.19048259e+00 -3.63918646e-04  1.19996673e+00 
 2.66425913e-11  2.66425913e-11  3.19711095e-01  1.18996952e+00 -3.77909790e-04  1.19996649e+00 
 2.68509916e-11  2.68509916e-11  3.22211900e-01  1.18949586e+00 -3.90629039e-04  1.19996628e+00 
 2.70484199e-11  2.70484199e-11  3.24581039e-01  1.18903692e+00 -4.02779051e-04  1.19996609e+00 
 2.72439882e-11  2.72439882e-11  3.26927858e-01  1.18857243e+00 -4.14906751e-04  1.19996590e+00 
 2.74574182e-11  2.74574182e-11  3.29489019e-01  1.18805424e+00 -4.28241679e-04  1.19996569e+00 
 2.76537967e-11  2.76537967e-11  3.31845560e-01  1.18756700e+00 -4.40598722e-04  1.19996551e+00 
 2.78601585e-11  2.78601585e-11  3.34321902e-01  1.18704415e+00 -4.53669550e-04  1.19996532e+00 
 2.80533367e-11  2.80533367e-11  3.36640041e-01  1.18654459e+00 -4.65980695e-04  1.19996515e+00 
